Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,,
Regular Season,1,Sat,3/9/2024,14:00 (16:00),New Mexico Utd,,Pittsburgh,,Isotopes Park,,Match Report,,,
Regular Season,1,Sat,3/9/2024,15:00 (16:00),Memphis,,LV Lights FC,,AutoZone Park,,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:00 (22:00),Roots,,Indy Eleven,,Pioneer Stadium,,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:00,Miami FC,,CS Switchbacks,,South Dade Kia Field at Pitbull Stadium,Sergii Demianchuk,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:00 (22:00),Sac Republic,,Orange County,,Heart Health Park,,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:00,North Carolina,,Charleston,,Sahlen's Stadium at WakeMed Soccer Park,,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:30 (20:30),San Antonio,,Loudoun Utd,,Toyota Field,,Match Report,,,
Regular Season,1,Sat,3/9/2024,19:30 (21:30),Phx Rising,,B'ham Legion,,Wild Horse Pass Stadium,,Match Report,,,
Regular Season,1,Sat,3/9/2024,20:00 (21:00),El Paso,,Hartford,,Southwest University Park,,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Wed,3/13/2024,20:00 (21:00),El Paso,,Monterey Bay,,Southwest University Park,Brad Jensen,Match Report,,,
Regular Season,2,Sat,3/16/2024,14:00 (15:00),El Paso,,Louisville City,,Southwest University Park,,Match Report,,,
Regular Season,2,Sat,3/16/2024,15:00 (16:00),Memphis,,Indy Eleven,,AutoZone Park,,Match Report,,,
Regular Season,2,Sat,3/16/2024,16:00,Loudoun Utd,,North Carolina,,Segra Field,,Match Report,,,
Regular Season,2,Sat,3/16/2024,16:00,Rhode Island FC,,New Mexico Utd,,Beirne Stadium,,Match Report,,,
Regular Season,2,Sat,3/16/2024,19:00,Pittsburgh,,Orange County,,Highmark Stadium,,Match Report,,,
Regular Season,2,Sat,3/16/2024,19:00,Miami FC,,Sac Republic,,South Dade Kia Field at Pitbull Stadium,Elton Garcia,Match Report,,,
Regular Season,2,Sat,3/16/2024,19:30,TB Rowdies,,San Antonio,,Al Lang Stadium,,Match Report,,,
