Player_ID,Player_Name,First_Name,Last_Name,Nationality,Position,Is_Offense,Is_Defense,Born
1,Wahab Ackwei,Wahab,Ackwei,GHA,DF,FALSE,TRUE,1996
2,Kyle Adams,Kyle,Adams,NZL,DF,FALSE,TRUE,1996
3,Matai Akinmboni,Matai,Akinmboni,USA,DF,FALSE,TRUE,2006
4,Joey Akpunonu,Joey,Akpunonu,USA,DF,FALSE,TRUE,2001
5,Tony Alfaro,Tony,Alfaro,USA,DF,FALSE,TRUE,1993
6,Gabriel Alves,Gabriel,Alves,,DF,FALSE,TRUE,
7,Devon Amoo-Mensah,Devon,Amoo-Mensah,USA,DF,FALSE,TRUE,1995
8,Allan Aniz,Allan,Aniz,BRA,DF,FALSE,TRUE,2003
9,Leland Archer,Leland,Archer,TRI,DF,FALSE,TRUE,1996
10,Charlie Asensio,Charlie,Asensio,USA,DF,FALSE,TRUE,2000
11,Arturo Astorga,Arturo,Astorga,,DF,FALSE,TRUE,
12,Danny Barbir,Danny,Barbir,USA,DF,FALSE,TRUE,1998
13,Lamar Batista,Lamar,Batista,USA,DF,FALSE,TRUE,1998
14,Edward Berumen,Edward,Berumen,USA,DF,FALSE,TRUE,2001
15,Luke Biasi,Luke,Biasi,USA,DF,FALSE,TRUE,1999
16,Samuel Biek,Samuel,Biek,GER,DF,FALSE,TRUE,1997
17,Eder Borelli,Eder,Borelli,MEX,DF,FALSE,TRUE,1990
18,Younes Boudadi,Younes,Boudadi,MAR,DF,FALSE,TRUE,1996
19,Bradley Bourgeois,Bradley,Bourgeois,USA,DF,FALSE,TRUE,1994
20,Pape Boye,Pape,Boye,SEN,DF,FALSE,TRUE,2003
21,Michael Bryant,Michael,Bryant,USA,DF,FALSE,TRUE,1995
22,Zane Bubb,Zane,Bubb,USA,DF,FALSE,TRUE,2000
23,Kendall Burks,Kendall,Burks,USA,DF,FALSE,TRUE,1999
24,Thomas Camier,Thomas,Camier,FRA,DF,FALSE,TRUE,2004
25,Nicolás Cardona,Nicolás,Cardona,PUR,DF,FALSE,TRUE,1999
26,Stephen Carroll,Stephen,Carroll,IRL,DF,FALSE,TRUE,1993
27,Pierre Cayet,Pierre,Cayet,FRA,DF,FALSE,TRUE,1999
28,Callum Chapman-Page,Callum,Chapman-Page,ENG,DF,FALSE,TRUE,1995
29,Wesley Charpie,Wesley,Charpie,USA,DF,FALSE,TRUE,1992
30,Jordan Chavez,Jordan,Chavez,USA,DF,FALSE,TRUE,1997
31,Abdoulaye Cissoko,Abdoulaye,Cissoko,FRA,DF,FALSE,TRUE,1999
32,Brandan Craig,Brandan,Craig,USA,DF,FALSE,TRUE,2004
33,Paco Craig,Paco,Craig,ENG,DF,FALSE,TRUE,1992
34,Robbie Crawford,Robbie,Crawford,SCO,DF,FALSE,TRUE,1993
35,Alex Crognale,Alex,Crognale,USA,DF,FALSE,TRUE,1994
36,Robby Dambrot,Robby,Dambrot,USA,DF,FALSE,TRUE,1994
37,Michael DeShields,Michael,DeShields,TRI,DF,FALSE,TRUE,1998
38,Lee Desmond,Lee,Desmond,IRL,DF,FALSE,TRUE,1995
39,Adrián Diz Pe,Adrián,Diz Pe,CUB,DF,FALSE,TRUE,1994
40,Jordan Doherty,Jordan,Doherty,IRL,DF,FALSE,TRUE,2000
41,Noah Dollenmayer,Noah,Dollenmayer,USA,DF,FALSE,TRUE,1999
42,Conor Donovan,Conor,Donovan,USA,DF,FALSE,TRUE,1996
43,Grayson Doody,Grayson,Doody,USA,DF,FALSE,TRUE,2002
44,Nathan Dossantos,Nathan,Dossantos,USA,DF,FALSE,TRUE,1999
45,Josh Drack,Josh,Drack,USA,DF,FALSE,TRUE,1999
46,Morris Duggan,Morris,Duggan,GER,DF,FALSE,TRUE,2000
47,Jacob Erlandson,Jacob,Erlandson,USA,DF,FALSE,TRUE,1999
48,Joe Farrell,Joe,Farrell,USA,DF,FALSE,TRUE,1994
49,Andrew Fox,Andrew,Fox,ENG,DF,FALSE,TRUE,1993
50,Alejandro Fuenmayor,Alejandro,Fuenmayor,VEN,DF,FALSE,TRUE,1996
51,Fabien Garcia,Fabien,Garcia,FRA,DF,FALSE,TRUE,1994
52,Elias Gärtig,Elias,Gärtig,DEN,DF,FALSE,TRUE,2002
53,Izaiah Garza,Izaiah,Garza,USA,DF,FALSE,TRUE,2006
54,Max Glasser,Max,Glasser,USA,DF,FALSE,TRUE,2000
55,Chris Gloster,Chris,Gloster,USA,DF,FALSE,TRUE,2000
56,Kai Greene,Kai,Greene,USA,DF,FALSE,TRUE,1993
57,Aaron Guillen,Aaron,Guillen,USA,DF,FALSE,TRUE,1993
58,Pedro Guimaraes,Pedro,Guimaraes,USA,DF,FALSE,TRUE,2008
59,Carlos Guzmán,Carlos,Guzmán,MEX,DF,FALSE,TRUE,1994
60,Joe Hafferty,Joe,Hafferty,USA,DF,FALSE,TRUE,1998
61,Anthony Herbert,Anthony,Herbert,TRI,DF,FALSE,TRUE,1998
62,Tristan Hodge,Tristan,Hodge,TRI,DF,FALSE,TRUE,1994
63,Patrick Hogan,Patrick,Hogan,USA,DF,FALSE,TRUE,1997
