Row,Date,Home_Team,Away_Team,Attendance,Match_Report_Link
0,2024-03-09,New Mexico Utd,Pittsburgh,"11,347",https://fbref.com/en/matches/b1544fc3/New-Mexico-United-Pittsburgh-Riverhounds-March-9-2024-USL-Championship
1,2024-03-09,Memphis,LV Lights FC,"3,290",https://fbref.com/en/matches/778d92a1/Memphis-901-Las-Vegas-Lights-FC-March-9-2024-USL-Championship
2,2024-03-09,Roots,Indy Eleven,"5,146",https://fbref.com/en/matches/6ce79fb0/Oakland-Roots-Indy-Eleven-March-9-2024-USL-Championship
3,2024-03-09,Miami FC,CS Switchbacks,"1,122",https://fbref.com/en/matches/7a4237a4/Miami-FC-Colorado-Springs-Switchbacks-March-9-2024-USL-Championship
4,2024-03-09,Sac Republic,Orange County,"11,569",https://fbref.com/en/matches/82d360f7/Sacramento-Republic-Orange-County-SC-March-9-2024-USL-Championship
5,2024-03-09,North Carolina,Charleston,"2,576",https://fbref.com/en/matches/860234cf/North-Carolina-FC-Charleston-Battery-March-9-2024-USL-Championship
6,2024-03-09,San Antonio,Loudoun Utd,"7,263",https://fbref.com/en/matches/f8251d3a/San-Antonio-FC-Loudoun-United-March-9-2024-USL-Championship
7,2024-03-09,Phx Rising,B'ham Legion,"8,187",https://fbref.com/en/matches/ff3c2f48/Phoenix-Rising-Birmingham-Legion-March-9-2024-USL-Championship
8,2024-03-09,El Paso,Hartford,"6,111",https://fbref.com/en/matches/3e0b5f68/El-Paso-Locomotive-Hartford-Athletic-March-9-2024-USL-Championship
9,,,,,
10,2024-03-13,El Paso,Monterey Bay,"4,566",https://fbref.com/en/matches/e0ef2679/El-Paso-Locomotive-Monterey-Bay-March-13-2024-USL-Championship
11,2024-03-16,El Paso,Louisville City,"4,876",https://fbref.com/en/matches/2bc4c643/El-Paso-Locomotive-Louisville-City-March-16-2024-USL-Championship
12,2024-03-16,Memphis,Indy Eleven,"2,621",https://fbref.com/en/matches/d1d321b4/Memphis-901-Indy-Eleven-March-16-2024-USL-Championship
13,2024-03-16,Loudoun Utd,North Carolina,"3,810",https://fbref.com/en/matches/75359beb/Loudoun-United-North-Carolina-FC-March-16-2024-USL-Championship
